,Mkt-RF,SMB,HML,RF
20080918,4.41,0.99,4.82,0.007
20080919,4.27,-2.21,3.96,0.007
20080922,-3.94,0.48,-3.38,0.007
20080923,-1.55,0.1,0.16,0.007
20080924,-0.32,-1.08,-0.77,0.007
20080925,1.7,-1.16,0.64,0.007
20080926,0.11,-0.98,1.06,0.007
20080929,-8.26,3.62,-4.04,0.007
20080930,4.88,-3.79,3.01,0.007
20081001,-0.47,-0.97,3.01,0.004
20081002,-4.2,-0.64,0.7,0.004
20081003,-1.47,-0.78,-1.21,0.004
20081006,-3.95,-0.05,0.37,0.004
20081007,-5.76,1.14,-3.53,0.004
20081008,-1.27,-0.16,-2.32,0.004
20081009,-7.35,-0.21,-2.57,0.004
20081010,-0.95,3.78,3.13,0.004
20081013,11.35,-2.45,-1.94,0.004
20081014,-0.86,-3.13,4.54,0.004
20081015,-8.78,0.23,0.76,0.004
20081016,4.32,2.22,-1.41,0.004
20081017,-0.41,-0.8,-0.89,0.004
20081020,4.55,-1.24,-0.82,0.004
20081021,-2.95,0.04,0.47,0.004
20081022,-5.76,0.91,0.04,0.004
20081023,0.29,-3.32,-0.81,0.004
20081024,-3.28,-0.06,-0.49,0.004
20081027,-3.36,-0.86,0.34,0.004
20081028,9.77,-3.79,0.49,0.004
20081029,-0.47,2.85,-1.24,0.004
20081030,2.99,2.01,-0.55,0.004
20081031,1.88,2.16,2.1,0.004
20081103,-0.05,0.13,0.51,0.001
20081104,3.57,-2.59,0.23,0.001
20081105,-5.05,0.24,-1.59,0.001
20081106,-4.83,1.52,-0.36,0.001
20081107,2.62,-1.11,-0.73,0.001
20081110,-1.32,-0.69,-2.05,0.001
20081111,-2.25,0.08,0.03,0.001
20081112,-5.14,-0.45,-1.13,0.001
20081113,6.79,0.76,0.03,0.001
20081114,-4.27,-2.28,-0.1,0.001
20081117,-2.43,1.89,-1.75,0.001
20081118,0.7,-1.25,-0.68,0.001
20081119,-6.29,-0.01,-3.03,0.001
20081120,-6.6,1.75,-2.56,0.001
20081121,6.11,-1.14,-2.16,0.001
20081124,6.27,-1.47,4.85,0.001
20081125,0.94,0,2.14,0.001
20081126,3.88,1.65,0.28,0.001
20081128,1.06,-0.59,1.75,0.001
20081201,-8.95,-0.69,-3.78,0
20081202,3.97,0.68,2.48,0
20081203,2.63,-0.23,1.5,0
20081204,-2.9,-0.08,1.21,0
20081205,3.75,0.06,1.89,0
20081208,3.8,-0.31,0.14,0
20081209,-2.23,-0.58,-1.12,0
20081210,1.2,1.03,-0.91,0
20081211,-2.93,-1.18,-2.19,0
20081212,0.96,2.29,0.73,0
20081215,-1.54,-1.21,-1.35,0
20081216,5.14,-0.24,2.57,0
20081217,-0.62,1.71,-0.55,0
20081218,-1.83,0.81,-0.18,0
20081219,0.35,0.84,-0.19,0
20081222,-1.87,-0.01,-0.83,0
20081223,-0.89,-0.1,-0.7,0
20081224,0.51,-0.34,0.64,0
20081226,0.63,0.59,0.06,0
20081229,-0.56,-1.47,0.03,0
20081230,2.47,0.55,1.03,0
20081231,1.7,1.53,0.82,0
20090102,3.11,-1.28,-0.45,0
20090105,-0.28,0.68,-1.15,0
20090106,0.87,0.99,0.86,0
20090107,-2.96,0.36,-1.14,0
20090108,0.47,0.7,0.41,0
20090109,-2.21,-1.32,-1.26,0
20090112,-2.28,0.4,-1.97,0
20090113,0.28,0.31,0.43,0
20090114,-3.38,-0.53,-1.3,0
20090115,0.39,2.35,-2.33,0
20090116,0.74,0.47,-1.07,0
20090120,-5.34,0.27,-4.17,0
20090121,4.21,-1.35,2.87,0
20090122,-1.62,-0.9,-1.77,0
20090123,0.44,-0.64,1.14,0
20090126,0.54,0.78,-0.67,0
20090127,1.08,-0.39,0.33,0
20090128,3.32,-0.74,2.86,0
20090129,-3.23,-0.16,-2.17,0
20090130,-2.16,0.22,-1.18,0
20090202,0.06,1.27,-0.38,0.001
20090203,1.46,-0.11,-2.46,0.001
20090204,-0.6,-0.21,-0.35,0.001
20090205,1.61,0.13,-0.13,0.001
20090206,2.79,-0.16,2.44,0.001
20090209,0.03,-0.84,0.07,0.001
20090210,-4.62,1.13,-2.86,0.001
20090211,0.75,-0.79,1.25,0.001
20090212,0.3,0.34,-0.55,0.001
20090213,-0.85,0.98,-1.49,0.001
20090217,-4.36,1.08,-2.4,0.001
20090218,-0.33,-0.84,-0.76,0.001
20090219,-1.15,0.02,-2,0.001
20090220,-1.16,-0.07,-0.93,0.001
20090223,-3.43,-0.59,0.77,0.001
20090224,4,-1.04,3.07,0.001
20090225,-1.15,-1.56,0.34,0.001
20090226,-1.53,-0.52,1.35,0.001
20090227,-2.01,1.89,-2.11,0.001
20090302,-4.75,-0.26,-0.34,0.001
20090303,-0.71,-0.69,-2.3,0.001
20090304,2.42,0.55,-0.94,0.001
20090305,-4.21,-0.39,-3.18,0.001
20090306,0.2,0.41,-0.64,0.001
20090309,-1.09,-0.89,0.2,0.001
20090310,6.35,-0.98,4.28,0.001
20090311,0.3,-0.59,0.54,0.001
20090312,4.16,1.1,2.66,0.001
20090313,0.74,0.21,0.5,0.001
20090316,-0.55,-1,0.34,0.001
20090317,3.2,0.61,1.55,0.001
20090318,2.18,-0.02,4.04,0.001
20090319,-1.03,1.14,-2.76,0.001
20090320,-1.95,-0.33,-0.88,0.001
20090323,6.89,-0.83,4.35,0.001
20090324,-1.93,-1.04,-1.77,0.001
